time,EC-Earth3P-HR r1i1p1f1,EC-Earth3P r1i1p1f1,HadGEM3-GC31-HM r1i1p1f1,HadGEM3-GC31-LM r1i14p1f1,HadGEM3-GC31-MM r1i1p1f1
2025-06-01,5.754415,1.0808185,22.717361,25.141676,40.733734
2026-06-01,20.896318,5.4518423,33.09061,17.35384,43.397263
2027-06-01,1.9486775,1.4125465,38.832676,11.962195,21.398125
2028-06-01,6.0153074,0.70312697,24.129707,34.42141,37.86964
2029-06-01,7.5088825,9.358814,40.722565,56.87987,64.98044
2030-06-01,1.5184085,0.00095774984,33.55683,32.74096,30.308847
2031-06-01,6.4119244,8.106774,33.72408,24.429775,37.72816
2032-06-01,2.409938,1.5256997,32.0219,18.27253,22.981625
2033-06-01,2.1087499,0.7046757,36.806267,34.573933,29.438622
2034-06-01,1.4286128,0.844556,34.848743,36.107384,40.236282
2035-06-01,13.00998,6.8580875,42.59987,22.482315,44.059006
2036-06-01,8.603992,10.966146,31.96382,12.225505,26.291763
2037-06-01,14.861601,0.5311436,18.657232,24.568768,29.435423
2038-06-01,1.1318816,4.575827,32.458294,7.3698306,23.438488
2039-06-01,75.2001,5.5214195,45.098446,23.269024,20.687115
2040-06-01,18.650238,1.9933178,27.296227,37.782196,17.2451
2041-06-01,3.7421288,17.108713,38.239815,20.263136,36.782253
2042-06-01,9.032514,1.9596457,17.05283,14.3410225,32.92214
2043-06-01,3.933635,2.7650154,29.720093,29.48584,22.964182
2044-06-01,50.893517,1.7187328,26.098717,26.94706,41.105576
2045-06-01,27.550198,12.587489,25.322996,22.704899,38.660633
2046-06-01,5.548286,4.83098,23.07776,33.693504,41.8299
2047-06-01,31.11838,5.160507,49.186,19.958876,43.735474
2048-06-01,6.3370986,1.1928428,21.517073,15.550093,28.348139
2049-06-01,7.713335,3.454477,33.689182,17.442005,30.370129
2050-06-01,,,32.83007,24.732483,30.564302
