,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009 validation,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,tas Amon EC-EARTH rcp85 r12i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,21.123,16.650,24.490,,,,7.968,-10.366,30.166,83.796,3.0000,1.8621,6.2568,1.2,0.65520,0.23053,1.9806,9.562,-12.439,36.136
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T validation,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r12i1p1,True,validation,gauss,shift,True,True,1981-2022,25,2021,-1.2,3,14.059,7.555,19.631,,,,-37.351,-72.194,-7.320,42.458,3.0000,1.1979,194.77,1.2,2252.5,9.2570,0.19272E+10,-44.821,-86.647,-8.919
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009 attr-now,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,16.754,14.454,18.506,,,,3.268,-3.871,11.405,87.436,3.0000,1.9131,6.6611,1.2,0.78980,0.35579,1.2840,3.922,-4.646,13.663
AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009 validation,AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,tas Amon GFDL-ESM2G rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,25,2021,-1.2,3,17.752,11.719,22.196,,,,19.892,-7.295,40.675,86.822,3.0000,1.6736,7.6140,1.2,0.40669,0.13751,1.5832,23.870,-8.795,48.799
AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3 attr-now,AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,53,2021,-1.2,3,23.782,18.865,27.424,,,,-5.289,-23.109,12.115,69.233,3.0000,1.9832,5.9966,1.2,1.3734,0.43524,3.9889,-6.347,-27.731,14.425
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009 attr-now,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,tas Amon EC-EARTH rcp85 r12i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,20.438,17.123,22.965,,,,-0.365,-12.402,11.982,81.922,3.0000,1.8486,5.5857,1.2,1.0238,0.43647,2.3166,-0.438,-14.891,14.377
AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009 attr-now,AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,tas Amon IPSL-CM5A-LR rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,16.475,13.525,19.203,,,,-0.711,-8.319,6.707,77.284,3.0000,1.9788,5.5286,1.2,1.0592,0.53783,1.9422,-0.853,-9.983,8.039
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 attr-now,AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,20.968,17.649,23.616,,,,-10.058,-21.584,-0.028,74.138,3.0000,1.8281,6.3036,1.2,2.1215,1.0035,4.5969,-12.069,-25.911,-0.043
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009 validation,AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,17.434,11.890,21.678,,,,2.626,-15.271,18.573,83.027,3.0000,1.5939,9.3184,1.2,0.83062,0.20909,3.1745,3.151,-18.333,22.230
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3 validation,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,18.267,13.736,21.593,,,,-0.371,-11.719,14.198,80.821,3.0000,1.6603,8.9651,1.2,1.0272,0.31196,2.4488,-0.445,-14.063,16.963
AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 attr-now,AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,13.851,11.244,15.681,,,,-3.972,-12.211,4.566,88.589,3.0000,1.8760,5.7693,1.2,1.5206,0.59119,4.0121,-4.767,-14.657,5.474
AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 attr-future,AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,15.162,12.377,17.946,,,,-3.989,-9.270,1.087,87.928,3.0000,2.2829,4.4180,-0.8,0.80741,0.67309,1.0835,3.191,-0.868,7.417
AFR-44_rs_duration_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4 attr-now,AFR-44_rs_duration_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,tas Amon CanESM2 rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,16.129,12.512,19.413,,,,5.761,-1.139,12.715,139.89,3.0000,1.8675,7.0818,1.2,0.66778,0.28986,1.0715,6.914,-1.369,15.248
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T validation,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,22.601,17.846,25.651,,,,1.293,-13.782,14.650,71.186,3.0000,1.8039,7.2510,1.2,0.92941,0.33327,2.1629,1.552,-16.547,17.555
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T attr-now,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,21.037,17.478,23.705,,,,3.391,-5.959,12.972,72.509,3.0000,1.8543,6.6362,1.2,0.82060,0.37407,1.3511,4.069,-7.152,15.542
AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 validation,AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,13.121,9.629,15.743,,,,1.334,-8.651,12.871,90.349,3.0000,1.8356,6.7430,1.2,0.88006,0.27632,2.7440,1.601,-10.382,15.415
AFR-44_rs_duration_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5 attr-now,AFR-44_rs_duration_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,tas Amon EC-EARTH rcp85 r3i1p1,True,present,gauss,shift,True,True,-2022,72,2021,-1.2,3,12.828,10.459,14.915,,,,-3.530,-11.285,4.007,78.170,3.0000,1.9122,6.5154,1.2,1.4924,0.57714,3.4136,-4.236,-13.542,4.804
AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3 attr-future,AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,81,2021,0.8,3,23.248,19.431,26.536,,,,-2.308,-11.717,7.381,72.198,3.0000,2.4068,3.8653,-0.8,0.91908,0.68274,1.3910,1.847,-5.897,9.373
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009 attr-future,AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,17.422,14.623,19.946,,,,0.766,-4.543,5.683,84.896,3.0000,2.3419,4.1826,-0.8,1.0396,0.82161,1.4214,-0.612,-4.541,3.635
AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009 attr-future,AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,tas Amon IPSL-CM5A-LR rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,15.904,13.444,18.132,,,,0.025,-3.703,3.603,78.067,3.0000,2.4050,3.9909,-0.8,1.0014,0.82493,1.2775,-0.020,-2.880,2.963
AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3 validation,AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,23.653,18.010,27.804,,,,-11.569,-38.287,12.311,67.042,3.0000,1.8576,6.3538,1.2,2.1587,0.42584,17.310,-13.883,-45.964,14.749
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3 attr-future,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,76,2021,0.8,3,18.141,15.311,20.760,,,,-0.643,-5.709,4.125,80.763,3.0000,2.2894,4.2825,-0.8,0.96981,0.78970,1.2774,0.515,-3.299,4.568
AFR-44_rs_duration_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4 attr-future,AFR-44_rs_duration_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,tas Amon CanESM2 rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,16.190,12.906,18.893,,,,1.657,-1.368,4.980,134.80,3.0000,2.3597,4.5875,-0.8,1.0961,0.93365,1.4194,-1.325,-3.982,1.095
AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17 attr-future,AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,tas Amon CNRM-CM5 rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,22.336,19.134,24.735,,,,-9.636,-16.616,-2.406,98.386,3.0000,2.3854,4.2277,-0.8,0.71548,0.57979,0.90148,7.708,1.930,13.296
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009 attr-future,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,tas Amon EC-EARTH rcp85 r12i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,19.711,17.198,21.631,,,,-2.867,-8.388,2.041,80.133,3.0000,2.4102,3.8342,-0.8,0.88505,0.72633,1.1093,2.294,-1.632,6.711
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 validation,AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,21.554,15.803,25.194,,,,-3.587,-24.360,15.988,76.391,3.0000,1.7744,9.9016,1.2,1.2616,0.25129,5.6439,-4.304,-29.239,19.179
AFR-44_rs_duration_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4 validation,AFR-44_rs_duration_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,tas Amon CanESM2 rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,15.165,10.801,18.475,,,,1.984,-9.944,12.361,138.71,3.0000,1.6907,11.006,1.2,0.85005,0.21020,2.0127,2.380,-11.936,14.793
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T attr-now,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r12i1p1,True,present,gauss,shift,True,True,-2022,56,2021,-1.2,3,15.442,11.742,18.928,,,,-5.768,-21.139,13.477,58.959,3.0000,1.5057,14.569,1.2,1.7571,0.21762,9.8938,-6.922,-25.367,16.144
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009 attr-now,AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,17.893,14.549,20.769,,,,-2.466,-12.750,7.721,81.397,3.0000,1.8373,6.8157,1.2,1.2097,0.51153,2.5355,-2.959,-15.301,9.259
AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009 attr-future,AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,tas Amon GFDL-ESM2G rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,56,2021,0.8,3,17.606,14.254,20.225,,,,8.271,-8.716,21.321,84.028,3.0000,1.6770,6.4610,-0.8,1.5876,0.80246,6.5608,-6.617,-17.007,6.973
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T attr-future,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r12i1p1,True,future,gauss,shift,True,True,-2050,56,2021,0.8,3,15.442,11.611,18.823,,,,-5.768,-20.692,13.105,58.959,3.0000,1.5430,12.418,-0.8,0.74482,0.58487,4.1335,4.615,-10.445,16.555
AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T attr-future,AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,17.027,14.729,19.000,,,,-2.921,-8.249,2.636,60.844,3.0000,2.3650,4.1607,-0.8,0.86676,0.71529,1.1708,2.337,-2.104,6.601
AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T validation,AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,16.840,13.084,19.517,,,,1.389,-14.467,15.212,63.772,3.0000,1.8741,7.0559,1.2,0.90083,0.26184,3.3116,1.666,-17.361,18.252
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17 attr-future,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,20.207,17.376,22.297,,,,-0.395,-5.033,4.238,84.879,3.0000,2.3883,4.1510,-0.8,0.98318,0.83041,1.2401,0.316,-3.387,4.027
AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T attr-now,AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,16.723,13.847,19.117,,,,-0.798,-9.237,7.567,62.805,3.0000,1.9613,5.6119,1.2,1.0657,0.50505,1.9749,-0.957,-11.087,9.069
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009 validation,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,16.561,13.270,18.973,,,,-2.955,-13.783,8.335,84.193,3.0000,1.8639,7.7980,1.2,1.2845,0.39293,3.6160,-3.546,-16.540,10.001
AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009 validation,AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,tas Amon IPSL-CM5A-LR rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,15.147,11.851,17.626,,,,9.911,-2.592,21.072,81.643,3.0000,1.8346,6.5660,1.2,0.52206,0.19424,1.1924,11.893,-3.116,25.242
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T attr-future,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,20.522,17.773,22.984,,,,7.541,3.081,12.147,77.369,3.0000,2.4019,4.0047,-0.8,1.4226,1.1297,2.0083,-6.033,-9.713,-2.463
