,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15 validation,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,37.068,28.902,43.146,-0.386,-0.457,-0.304,-7.734,-30.118,12.910,48.449,10.000,5.3649,25.555,1.2,1.2274,0.69272,2.4240,-8.696,-29.680,16.165
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-now,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon NorESM1-M rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,46.750,39.873,51.115,-0.508,-0.579,-0.427,13.067,-9.241,38.749,32.038,10.000,6.7343,18.399,1.2,0.78536,0.44386,1.1894,20.786,-12.282,75.075
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7 attr-now,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,53,2021,-1.2,10,53.347,35.831,62.779,-1.270,-1.478,-0.969,10.859,-15.628,38.432,-26.366,10.000,6.0906,30.705,1.2,1.6507,0.48342,11.382,54.299,-40.088,385.289
AFR-22_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7 attr-now,p_AFR-22_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,53,2021,-1.2,10,8.357,3.480,11.637,-1.679,-2.056,-1.307,-2.118,-8.906,5.857,-5.7342,10.000,5.3818,0.80350E+07,1.2,0.68169,0.11463E-05,4.0518,-33.643,-92.875,261.631
AFR-22_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7 validation,p_AFR-22_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,7.677,2.296,11.312,-1.681,-2.139,-1.234,-3.505,-13.624,4.510,-5.2709,10.000,5.4238,0.15101E+08,1.2,0.57809,0.70894E-06,2.3614,-49.392,-96.487,134.590
AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-future,p_AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,39.241,34.147,42.978,-0.624,-0.694,-0.542,-1.146,-11.143,10.575,12.587,10.000,7.7188,15.032,-0.8,0.99185,0.91020,1.0702,1.455,-12.265,14.919
AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015 attr-now,p_AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,53,2021,-1.2,10,11.265,7.371,13.846,-0.570,-0.671,-0.404,2.762,-5.222,11.065,5.3209,10.000,6.4080,35.175,1.2,0.84767,0.30986,1.3110,20.400,-28.432,126.381
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7 attr-future,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7,tas Amon NorESM1-M rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,81,2021,0.8,10,33.706,22.355,41.454,-1.720,-2.059,-1.412,10.561,-2.522,24.087,-23.596,10.000,7.7709,27.397,-0.8,0.64611,0.47107,1.4982,-37.906,-61.639,17.503
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015 validation,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,14.716,11.196,17.309,-0.483,-0.553,-0.380,3.273,-7.276,15.931,11.590,10.000,6.3707,22.641,1.2,0.81482,0.37255,1.7233,15.248,-26.728,96.061
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015 validation,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015,tas Amon NorESM1-M rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,10.744,8.788,11.855,-0.526,-0.610,-0.414,9.594,-1.146,22.115,6.6585,10.000,5.7675,26.707,1.2,0.37272,0.60123E-01,1.1428,107.075,-8.612,441.483
AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015 attr-future,p_AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,81,2021,0.8,10,10.044,7.390,12.120,-0.493,-0.574,-0.382,2.361,-1.695,7.050,7.5144,10.000,6.9566,21.370,-0.8,1.1298,0.92432,1.6361,-9.147,-25.975,6.779
AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15 validation,p_AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,34.444,26.342,40.188,-0.638,-0.738,-0.513,-12.923,-48.111,30.359,9.8138,10.000,7.0042,18.892,1.2,1.1215,0.76457,1.6521,-22.578,-61.130,79.250
AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015 validation,p_AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,10.306,6.586,12.591,-0.556,-0.658,-0.398,-1.651,-12.524,11.062,5.3315,10.000,6.3736,36.950,1.2,1.0932,0.31657,1.9106,-9.700,-52.081,119.544
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015 attr-future,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,81,2021,0.8,10,14.503,12.193,16.345,-0.457,-0.511,-0.393,4.659,1.098,8.599,13.167,10.000,7.6220,15.461,-0.8,1.2119,1.0490,1.4642,-11.765,-21.048,-2.866
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015 attr-future,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015,tas Amon NorESM1-M rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,81,2021,0.8,10,8.793,7.204,9.873,-0.572,-0.642,-0.488,0.603,-2.971,5.014,4.0936,10.000,7.6086,15.188,-0.8,1.0259,0.85074,1.2110,-3.114,-22.751,16.891
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7 attr-now,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7,tas Amon NorESM1-M rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,53,2021,-1.2,10,20.260,11.806,25.485,-1.452,-1.735,-1.156,-0.839,-18.022,14.099,-12.009,10.000,6.2202,72.984,1.2,0.93276,0.11624,5.7440,-6.756,-77.783,225.254
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015 attr-now,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015,tas Amon NorESM1-M rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,53,2021,-1.2,10,10.222,8.147,11.326,-0.550,-0.618,-0.436,5.781,-1.516,15.633,5.4771,10.000,6.4542,23.586,1.2,0.60376,0.14908,1.1552,57.849,-12.275,273.746
