year,MOHC-HadGEM2-ES r1i1p1 CLMcom-KIT-CCLM5-0-15,MOHC-HadGEM2-ES r1i1p1 GERICS-REMO2015,MOHC-HadGEM2-ES r1i1p1 ICTP-RegCM4-7,MPI-M-MPI-ESM-LR r1i1p1 CLMcom-KIT-CCLM5-0-15,MPI-M-MPI-ESM-LR r1i1p1 GERICS-REMO2015,MPI-M-MPI-ESM-MR r1i1p1 ICTP-RegCM4-7,NCC-NorESM1-M r1i1p1 CLMcom-KIT-CCLM5-0-15,NCC-NorESM1-M r1i1p1 GERICS-REMO2015,NCC-NorESM1-M r1i1p1 ICTP-RegCM4-7
2040,182.0,154.0,187.0,168.0,190.0,205.0,201.0,181.0,209.0
2041,157.0,169.0,205.0,192.0,164.0,198.0,172.0,124.0,197.0
2042,163.0,152.0,203.0,193.0,176.0,199.0,195.0,194.0,210.0
2043,166.0,180.0,193.0,197.0,134.0,203.0,239.0,196.0,209.0
2044,190.0,166.0,191.0,179.0,166.0,221.0,182.0,183.0,194.0
2045,145.0,161.0,200.0,185.0,184.0,211.0,160.0,189.0,195.0
2046,152.0,164.0,198.0,175.0,160.0,228.0,127.0,195.0,204.0
2047,165.0,160.0,188.0,183.0,183.0,208.0,164.0,180.0,204.0
2048,155.0,185.0,187.0,196.0,192.0,211.0,207.0,195.0,206.0
2049,169.0,163.0,175.0,179.0,165.0,201.0,164.0,167.0,209.0
2050,173.0,174.0,200.0,173.0,179.0,212.0,219.0,207.0,213.0
