year,MOHC-HadGEM2-ES r1i1p1 CLMcom-KIT-CCLM5-0-15,MOHC-HadGEM2-ES r1i1p1 GERICS-REMO2015,MOHC-HadGEM2-ES r1i1p1 ICTP-RegCM4-7,MPI-M-MPI-ESM-LR r1i1p1 CLMcom-KIT-CCLM5-0-15,MPI-M-MPI-ESM-LR r1i1p1 GERICS-REMO2015,MPI-M-MPI-ESM-MR r1i1p1 ICTP-RegCM4-7,NCC-NorESM1-M r1i1p1 CLMcom-KIT-CCLM5-0-15,NCC-NorESM1-M r1i1p1 GERICS-REMO2015,NCC-NorESM1-M r1i1p1 ICTP-RegCM4-7
2017,86.0,133.0,98.0,33.0,107.0,64.0,83.0,87.0,73.0
2018,115.0,109.0,72.0,67.0,95.0,42.0,72.0,115.0,34.0
2019,105.0,103.0,70.0,100.0,104.0,86.0,94.0,104.0,55.0
2020,112.0,81.0,41.0,98.0,86.0,41.0,80.0,66.0,66.0
2021,58.0,79.0,51.0,70.0,101.0,48.0,82.0,59.0,65.0
2022,112.0,86.0,60.0,77.0,46.0,40.0,86.0,68.0,46.0
2023,81.0,87.0,44.0,76.0,102.0,68.0,63.0,53.0,41.0
2024,97.0,104.0,82.0,115.0,116.0,74.0,93.0,72.0,88.0
2025,119.0,79.0,63.0,125.0,58.0,69.0,103.0,89.0,38.0
2026,118.0,84.0,64.0,103.0,97.0,75.0,62.0,63.0,55.0
2027,132.0,108.0,85.0,83.0,92.0,77.0,40.0,120.0,46.0
2028,114.0,88.0,58.0,104.0,106.0,38.0,66.0,133.0,38.0
2029,119.0,97.0,65.0,81.0,82.0,42.0,81.0,91.0,71.0
2030,98.0,94.0,60.0,82.0,63.0,66.0,55.0,67.0,69.0
2031,71.0,91.0,74.0,85.0,91.0,63.0,108.0,98.0,32.0
2032,118.0,112.0,46.0,85.0,92.0,66.0,95.0,91.0,41.0
2033,120.0,93.0,47.0,68.0,66.0,55.0,100.0,104.0,66.0
2034,111.0,97.0,67.0,52.0,103.0,51.0,140.0,67.0,49.0
2035,86.0,107.0,85.0,79.0,98.0,93.0,41.0,91.0,50.0
2036,116.0,85.0,69.0,135.0,87.0,40.0,44.0,98.0,46.0
2037,106.0,125.0,73.0,111.0,121.0,81.0,88.0,58.0,52.0
2038,99.0,74.0,86.0,73.0,69.0,77.0,66.0,56.0,41.0
2039,95.0,70.0,49.0,102.0,114.0,68.0,88.0,55.0,55.0
2040,102.0,122.0,89.0,105.0,87.0,52.0,60.0,74.0,48.0
2041,104.0,99.0,62.0,78.0,113.0,52.0,81.0,126.0,67.0
2042,121.0,83.0,61.0,82.0,115.0,52.0,78.0,50.0,39.0
2043,117.0,99.0,53.0,72.0,124.0,58.0,28.0,52.0,32.0
2044,57.0,80.0,67.0,96.0,106.0,33.0,52.0,79.0,56.0
2045,128.0,108.0,61.0,102.0,87.0,50.0,102.0,52.0,58.0
2046,105.0,96.0,63.0,110.0,125.0,48.0,56.0,69.0,59.0
2047,96.0,99.0,76.0,64.0,74.0,44.0,73.0,65.0,48.0
2048,102.0,92.0,69.0,69.0,75.0,51.0,45.0,54.0,44.0
2049,82.0,90.0,71.0,95.0,98.0,52.0,68.0,87.0,39.0
2050,88.0,118.0,55.0,100.0,91.0,58.0,54.0,51.0,36.0
