,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 attr-now,p_AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,37.478,29.966,43.665,-0.493,-0.560,-0.412,-7.131,-27.242,16.636,27.973,10.000,6.6837,18.525,1.2,1.1415,0.74921,1.8916,-9.927,-34.037,26.840
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17 attr-future,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,48.800,43.349,53.606,-0.443,-0.492,-0.388,4.480,-5.078,14.134,47.701,10.000,7.4125,15.276,-0.8,1.0584,0.93937,1.1963,-3.281,-10.143,3.603
AFR-44_june_total_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5 attr-now,p_AFR-44_june_total_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,tas Amon EC-EARTH rcp85 r3i1p1,True,present,gauss,scale,True,True,-2022,72,2021,-1.2,10,19.645,14.503,23.756,-0.580,-0.661,-0.461,-1.918,-21.467,10.982,8.7102,10.000,6.5759,17.199,1.2,1.0508,0.74944,1.9660,-6.325,-52.482,43.424
AFR-44_june_total_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5 validation,p_AFR-44_june_total_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,tas Amon EC-EARTH rcp85 r3i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,19.882,12.604,25.222,-0.643,-0.742,-0.462,-9.524,-42.388,19.569,5.4645,10.000,7.1711,24.356,1.2,1.1462,0.65637,2.3227,-27.777,-78.236,106.782
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T validation,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r12i1p1,True,validation,gauss,scale,True,True,1981-2021,25,2021,-1.2,10,29.816,16.832,38.765,-0.667,-0.787,-0.470,-38.680,-202.992,88.510,6.4900,10.000,3.7457,27.499,1.2,1.2241,0.50745,6.2059,-51.553,-97.391,397.236
AFR-44_june_total_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009 attr-future,p_AFR-44_june_total_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,tas Amon IPSL-CM5A-LR rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,8.605,7.139,9.641,-0.693,-0.759,-0.596,1.163,-1.163,3.012,1.3833,10.000,8.0661,14.558,-0.8,1.0216,0.97187,1.0546,-7.536,-18.256,8.093
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17 attr-future,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,tas Amon EC-EARTH rcp85 r12i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,41.087,35.916,44.963,-0.430,-0.472,-0.379,-12.055,-22.292,-0.700,42.917,10.000,7.5178,14.941,-0.8,0.83328,0.68600,0.98940,10.206,0.594,19.968
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17 attr-now,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,52.558,45.281,58.166,-0.464,-0.524,-0.393,8.880,-13.230,33.405,45.974,10.000,6.0403,19.146,1.2,0.84962,0.54864,1.3190,10.859,-14.624,47.034
AFR-44_june_total_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17 validation,p_AFR-44_june_total_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,tas Amon CNRM-CM5 rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,,36.120,27.739,42.353,-0.280,-0.331,-0.214,-9.829,-57.643,38.934,148.85,1.4127,1.1316,2.0828,1.2,1.2237,0.51797,4.3732,-8.473,-39.802,42.192
AFR-44_june_total_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 attr-future,p_AFR-44_june_total_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,10.260,8.373,12.029,-0.559,-0.644,-0.471,1.209,-1.169,3.989,5.1997,10.000,7.4351,15.536,-0.8,1.0484,0.94643,1.1501,-5.283,-16.632,5.367
AFR-44_june_total_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4 validation,p_AFR-44_june_total_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,tas Amon CanESM2 rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,12.535,10.216,14.267,-0.138,-0.159,-0.110,-7.652,-16.430,0.553,74.805,10.000,4.4453,35.559,1.2,2.9447,0.91788,15.453,-9.115,-18.528,0.644
AFR-44_june_total_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5 attr-future,p_AFR-44_june_total_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,tas Amon EC-EARTH rcp85 r3i1p1,True,future,gauss,scale,True,True,-2050,100,2021,0.8,10,16.823,12.751,20.705,-0.588,-0.670,-0.483,-7.392,-14.198,-1.859,7.0485,10.000,7.6297,16.322,-0.8,0.86065,0.68791,0.96585,20.839,4.771,44.407
AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 validation,p_AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,35.885,25.765,44.020,-0.532,-0.614,-0.414,-27.972,-80.534,9.408,21.519,10.000,6.1320,22.051,1.2,1.4500,0.86774,3.2634,-33.684,-68.312,14.244
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T attr-now,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,63.161,48.888,72.052,-0.655,-0.749,-0.526,8.604,-16.773,40.325,15.420,10.000,7.0383,20.591,1.2,0.94759,0.73531,1.1178,12.656,-20.392,79.479
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T validation,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,67.275,57.569,72.798,-0.569,-0.689,-0.443,26.401,-6.730,65.924,31.968,10.000,5.7928,24.457,1.2,0.72529,0.40318,1.1045,40.329,-8.989,142.965
AFR-44_june_total_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009 attr-now,p_AFR-44_june_total_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,tas Amon IPSL-CM5A-LR rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,6.914,5.510,7.924,-0.696,-0.797,-0.579,-1.191,-4.595,1.712,1.0788,10.000,7.3929,15.969,1.2,1.0342,0.94398,1.1610,-12.234,-39.162,21.784
AFR-44_june_total_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009 validation,p_AFR-44_june_total_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,tas Amon IPSL-CM5A-LR rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,7.059,5.191,8.180,-0.678,-0.784,-0.532,0.266,-4.161,5.819,1.3648,10.000,7.2492,21.089,1.2,0.98936,0.69297,1.2172,3.158,-40.922,113.457
AFR-44_june_total_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17 attr-future,p_AFR-44_june_total_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,tas Amon CNRM-CM5 rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,43.636,36.767,49.836,-0.333,-0.379,-0.284,-4.236,-20.563,11.293,75.068,10.000,7.1482,17.043,-0.8,0.92545,0.65413,1.2191,2.594,-6.530,13.336
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009 attr-future,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,17.106,14.255,19.539,-0.516,-0.571,-0.444,4.428,-0.029,8.715,11.230,10.000,7.8582,14.967,-0.8,1.1381,0.99884,1.2917,-11.036,-21.119,0.086
AFR-44_june_total_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 attr-now,p_AFR-44_june_total_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,12.268,9.971,14.046,-0.598,-0.676,-0.494,4.319,-2.580,12.494,4.7941,10.000,7.5474,16.195,1.2,0.78912,0.55331,1.1916,35.707,-17.331,133.552
AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009 validation,p_AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,9.514,7.086,11.012,-0.465,-0.536,-0.360,1.127,-7.954,8.111,8.2798,10.000,5.4540,23.808,1.2,0.89925,0.41400,2.4357,7.055,-39.116,64.759
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009 validation,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,tas Amon EC-EARTH rcp85 r12i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,9.307,6.999,10.712,-0.468,-0.527,-0.382,-7.120,-19.328,4.315,7.9527,10.000,6.2238,21.561,1.2,1.6513,0.66128,4.2208,-31.430,-64.458,28.570
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T attr-future,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,59.079,48.121,67.970,-0.627,-0.704,-0.530,5.982,-8.378,22.932,18.520,10.000,7.7700,15.770,-0.8,1.0289,0.95414,1.1164,-5.153,-18.609,7.289
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T attr-future,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r12i1p1,True,future,gauss,scale,True,True,-2050,56,2021,0.8,10,38.194,28.769,45.115,-0.659,-0.755,-0.544,-8.638,-57.774,39.551,9.0505,10.000,6.3570,17.990,-0.8,0.95453,0.44372,1.1031,11.263,-38.907,115.444
AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 attr-future,p_AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,40.125,32.789,45.701,-0.508,-0.563,-0.437,-3.166,-18.207,8.301,27.601,10.000,7.6151,14.760,-0.8,0.96239,0.75799,1.0995,3.192,-7.929,20.646
AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009 attr-future,p_AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,11.630,8.332,14.367,-0.559,-0.659,-0.428,1.040,-4.043,6.402,5.8939,10.000,7.0495,22.622,-0.8,1.0366,0.86120,1.2725,-4.023,-22.320,17.192
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17 validation,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,53.573,43.774,59.970,-0.456,-0.516,-0.365,9.320,-21.316,41.650,48.801,10.000,5.7954,23.000,1.2,0.84533,0.46045,1.5849,10.759,-20.825,58.328
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009 attr-now,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,tas Amon EC-EARTH rcp85 r12i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,9.518,7.856,10.735,-0.489,-0.547,-0.421,-5.914,-12.384,-0.151,7.2535,10.000,6.5569,16.527,1.2,1.4499,1.0129,2.3130,-26.501,-48.319,-0.963
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009 attr-future,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,tas Amon EC-EARTH rcp85 r12i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,10.884,8.857,12.550,-0.504,-0.555,-0.425,-2.057,-6.308,1.383,7.6646,10.000,7.8609,15.282,-0.8,0.91057,0.69283,1.0572,7.679,-4.810,25.585
AFR-44_june_total_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009 validation,p_AFR-44_june_total_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,tas Amon GFDL-ESM2G rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,25,2021,-1.2,10,8.089,5.109,9.591,-0.531,-0.628,-0.364,1.557,-13.068,14.905,4.8697,10.000,5.4566,34.603,1.2,0.86777,0.18404,3.7487,13.690,-65.394,207.300
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009 attr-now,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,19.418,15.763,22.297,-0.530,-0.602,-0.434,6.912,-2.965,16.990,11.724,10.000,6.2549,20.280,1.2,0.70782,0.39109,1.1986,34.279,-11.797,111.948
AFR-44_june_total_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009 attr-now,p_AFR-44_june_total_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,tas Amon GFDL-ESM2G rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,56,2021,-1.2,10,8.306,5.832,10.712,-0.567,-0.686,-0.420,-0.099,-10.112,9.181,4.0022,10.000,5.7246,30.907,1.2,1.0068,0.44143,2.0104,-0.805,-53.693,112.208
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17 attr-now,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,tas Amon EC-EARTH rcp85 r12i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,45.750,39.272,50.356,-0.445,-0.497,-0.388,-1.662,-28.414,20.330,44.148,10.000,6.2605,17.974,1.2,1.0329,0.65997,1.8549,-1.902,-28.506,26.916
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T attr-now,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r12i1p1,True,present,gauss,scale,True,True,-2022,56,2021,-1.2,10,38.194,29.075,45.321,-0.659,-0.749,-0.543,-8.638,-56.567,41.146,9.0505,10.000,6.5928,17.742,1.2,1.0640,0.76465,1.7390,-14.793,-65.350,112.610
AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17 validation,p_AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,tas Amon EC-EARTH rcp85 r12i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,50.842,40.528,56.456,-0.456,-0.524,-0.368,25.521,-24.572,69.738,46.233,10.000,5.6185,23.339,1.2,0.59041,0.16981,1.6717,35.730,-26.683,131.920
AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009 attr-now,p_AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,9.772,6.417,12.386,-0.555,-0.660,-0.398,-2.081,-9.454,6.260,5.0916,10.000,6.1020,38.296,1.2,1.1192,0.60581,1.6229,-12.135,-43.921,49.420
AFR-44_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3 attr-future,p_AFR-44_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,future,gauss,scale,True,True,2022-,29,2021,0.8,10,0.000,0.000,0.000,-0.451,-0.530,-0.298,0.000,-0.000,0.001,0.16687E-03),10.000,4.8808,63.603,-0.8,1.7445,0.74959,5.3469,-31.600,-62.628,14.353
AFR-44_june_total_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4 attr-future,p_AFR-44_june_total_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,tas Amon CanESM2 rcp85 r1i1p1,True,future,gauss,scale,True,True,2022-2050,29,2021,0.8,10,13.769,8.548,17.300,-0.159,-0.195,-0.102,23.299,-3.158,43.615,68.905,10.000,3.9034,371.76,-0.8,5.9656,0.66321,39.429,-16.869,-28.679,2.682
